# Pixel_X Pixel_Y Center Sum_C Sum_U Sum_D Sum_L Sum_R Avg0_C Avg0_U Avg0_D Avg0_L Avg0_R
4 12 487 3305 -375 3555 1950 2016 132 -25 237 130 134
5 12 488 3360 -360 3600 1983 2049 134 -24 240 132 136
6 12 489 3412 -348 3644 2016 2079 136 -24 242 134 138
7 12 490 3464 -336 3688 2049 2109 138 -23 245 136 140
8 12 490 3513 -327 3731 2079 2136 140 -22 248 138 142
9 12 491 3559 -321 3773 2109 2163 142 -22 251 140 144
10 12 491 3605 -315 3815 2136 2190 144 -21 254 142 146
11 12 491 3651 -309 3857 2163 2217 146 -21 257 144 147
12 12 492 3697 -303 3899 2190 2247 147 -21 259 146 149
13 12 492 3746 -294 3942 2217 2277 149 -20 262 147 151
14 12 493 3787 -285 3977 2247 2299 151 -19 265 149 153
15 12 494 3817 -279 4003 2277 2310 152 -19 266 151 154
0 13 498 3983 -201 4117 2370 2403 159 -14 274 158 160
1 13 499 4013 -195 4143 2381 2433 160 -13 276 158 162
2 13 500 4054 -186 4178 2403 2463 162 -13 278 160 164
3 13 500 4100 -180 4220 2433 2487 164 -12 281 162 165
4 13 501 4143 -177 4261 2463 2511 165 -12 284 164 167
5 13 500 4183 -177 4301 2487 2532 167 -12 286 165 168
6 13 500 4223 -177 4341 2511 2556 168 -12 289 167 170
7 13 500 4260 -180 4380 2532 2580 170 -12 292 168 172
8 13 500 4306 -174 4422 2556 2610 172 -12 294 170 174
9 13 500 4355 -165 4465 2580 2643 174 -11 297 172 176
10 13 502 4410 -150 4510 2610 2682 176 -10 300 174 178
11 13 503 4468 -132 4556 2643 2718 178 -9 303 176 181
12 13 505 4529 -111 4603 2682 2754 181 -8 306 178 183
13 13 506 4584 -96 4648 2718 2784 183 -7 309 181 185
14 13 507 4628 -84 4684 2754 2803 185 -6 312 183 186
15 13 507 4658 -78 4710 2784 2811 186 -6 314 185 187
0 14 512 4507 3 4505 2688 2715 180 0 300 179 181
1 14 512 4537 9 4531 2696 2745 181 0 302 179 183
2 14 513 4578 18 4566 2715 2778 183 1 304 181 185
3 14 514 4630 30 4610 2745 2811 185 2 307 183 187
4 14 515 4682 42 4654 2778 2841 187 2 310 185 189
5 14 516 4734 54 4698 2811 2871 189 3 313 187 191
6 14 516 4786 66 4742 2841 2901 191 4 316 189 193
7 14 517 4838 78 4786 2871 2934 193 5 319 191 195
8 14 518 4887 87 4829 2901 2964 195 5 321 193 197
9 14 519 4939 99 4873 2934 2994 197 6 324 195 199
10 14 519 4988 108 4916 2964 3021 199 7 327 197 201
11 14 520 5037 117 4959 2994 3051 201 7 330 199 203
12 14 520 5086 126 5002 3021 3081 203 8 333 201 205
13 14 521 5135 135 5045 3051 3111 205 9 336 203 207
14 14 522 5173 141 5079 3081 3130 206 9 338 205 208
15 14 522 5203 147 5105 3111 3138 208 9 340 207 209
0 15 525 335 201 201 195 205 13 13 13 13 13
1 15 526 345 207 207 200 215 13 13 13 13 14
2 15 526 355 213 213 205 220 14 14 14 13 14
3 15 527 370 222 222 215 230 14 14 14 14 15
4 15 527 380 228 228 220 235 15 15 15 14 15
5 15 528 395 237 237 230 245 15 15 15 15 16
6 15 528 405 243 243 235 250 16 16 16 15 16
7 15 529 420 252 252 245 260 16 16 16 16 17
8 15 529 435 261 261 250 270 17 17 17 16 18
9 15 530 455 273 273 260 285 18 18 18 17 19
10 15 531 475 285 285 270 300 19 19 19 18 20
11 15 532 500 300 300 285 315 20 20 20 19 21
12 15 533 525 315 315 300 330 21 21 21 20 22
13 15 534 545 327 327 315 340 21 21 21 21 22
14 15 535 560 336 336 330 345 22 22 22 22 23
15 15 535 570 342 342 340 345 22 22 22 22 23
